,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
0,출산,환복,바지,검사,엄마,사진,사랑,사람
1,후기,시간,의료,치료,처음,모습,여자,의사
2,환복,수술실,검진,병실,감사,차림,남자,아버지
3,아기,후기,침대,환복,모습,공개,여행,가운
4,간호사,그림,건강,의사,퇴원,회장,머리,요양
5,산부인과,링거,생활,아들,아빠,휠체어,느낌,수술복
6,내복,마취,체육,진료,오늘,자신,단추,마지막
7,제왕,어머니,학교,사용,할머니,담배,사람,영화
8,속옷,주사,기억,군인,사람,방송,마음,노인
9,절개,병실,시트,간호사,이야기,탈출,언니,부인
10,자연,도착,생각,허리,링거,당시,남편,이야기
11,추천,저녁,종합,사진,생각,경찰,이름,시절
12,분만,침대,질투,병동,시간,병실,드라마,일상
13,임신,오후,세탁,퇴원,행복,마스크,사이즈,모습
14,신랑,맛집,관리,시술,건강,등장,얼굴,어린이
15,가방,간호사,잠옷,혈압,마음,혐의,생각,아이
16,원피스,입원실,이동,부상자,걱정,촬영,의사,평양
17,내진,보호자,깁스,촬영,얼굴,얼굴,의상,생계
18,분만실,자리,병실,,치료,미소,간호사,생각
19,고민,교수,세탁물,,할로윈,미모,원피스,남자
