,Topic1,Topic2,Topic3,Topic4
0,코로나,검사,얼굴,바지
1,확진,갈아입,차림,가운
2,요양,환복,모르,의사
3,의료진,간호사,병상,단추
4,치료,치료,걱정,만들
5,건강,주사,링거,잠옷
6,휠체어,속옷,기억,사이즈
7,시트,들어가,방송,유니폼
8,센터,도착,눈물,원피스
9,세탁,절개,생활,상의
10,수술복,입원실,머리,느낌
11,마스크,의사,그때,제작
12,들어오,마취,장면,디자인
13,따르,산부인과,사이,원단
14,격리,소변,팬티,의상
15,시설,진료,다리,입히
16,부족,식사,나오,혼자
17,인근,보호자,기분,답변
18,차림,링거,응급실,손가락
19,근무복,기다리,붕대,가지
20,기관,건강,행복,가격
21,의사,처음,바라보,머리
22,간호사,당일,포착,제품
23,일반,설명,gt,세트
24,뉴스,수면,관장,대신
25,슬리퍼,대학,조리,평생
26,소독,혈압,복도,운동
27,종합,제거,처음,기저귀
28,착용,내시경,미소,개인
29,소재,증상,내복,이름
30,상황,항생제,가족,체육
31,cctv,수속,무릎,간식
32,관련,바늘,편의점,세상
33,외출,자궁,등장,숟가락
34,기자,확인,재활,사복
35,요양원,나오,일상,상품
36,문제,응급실,of,하의
37,용품,통증,sns,주머니
38,대표,진행,눈빛,연락
39,수건,항암,골절,어깨
40,감염,교수,교통사고,시절
41,처리,탈의,현실,자복
42,로봇,사실,양말,문자
43,흰색,엑스레이,무시,중환자실
44,지원,몸무게,눈길,만족
45,세제,시술,보내,응원
46,의류,심장,회복,안부
47,대통령,이후,시선,수술복
48,가운,체크,언니,소녀
49,확인,불편,준비물,지키
50,nan,화장실,lt,그러
51,방호복,기록,카메라,완료
52,사회,분만,의사,부르
53,방사선,이동,현관,그림
54,이용,폐암,걸치,교체
55,이불,수술대,마스크,박사
56,제작,바지,the,올리
57,기기,부위,충격,부탁
58,방역,머리,건강,구입
59,살해,자연,깁스,핑크
60,추적,비용,발목,기능
61,정문,정부,한편,그램
62,안전,임신,얘기,중성화
63,사망,대장,가방,학교
64,지역,생활,tv,티셔츠
65,업무,mri,상황,활동
66,거리,선물,자리,비밀
67,현장,담당,출신,풍경
68,최근,출연,느끼,강아지
69,조현,근처,주말,호실
70,세탁물,혼자,신발,아동
71,파주,금식,의식,자동차
72,사고,판정,오빠,나가
73,음압,배정,웃음,생계
74,커버,마치,주변,이번
75,보건,과정,인간,방법
76,위생,간병인,의지,온몸
77,음성군,얼마,이후,예고
78,고민,그러,근황,게재
79,장애,이식,산후조리원,셀카
80,베개,가족,내리,패턴
81,대부분,태동,분위기,회원
82,대형,반응,속옷,허리
83,업체,고통,인생,간병
84,소방,복강경,선고,어울리
85,청주서,산모,기도,특성
86,건물,접수,행동,학생
87,일부,긴장,혼자,커피
88,소지품,말씀,마시,정보
89,주한,작성,인대,반바지
90,생산,유도,모두,디스크
91,이탈,동영상,며칠,반팔
92,탈의실,원피스,이해,생활비
93,검거,탈의실,그러,달려오
94,지구대,엉덩이,자유,복수
95,폐기물,절차,슬기,기부
96,바이러스,무통,신경,가디건
97,범행,분만실,예정,검색
98,이동,혈액,면회,냄새
99,효과,샤워,변화,조사
